Chromosome	Median	MAD	Mean	SD
1	2.000876	0.01031462	1.991905	0.020539353
2	2.002794	0.01993602	1.992343	0.013035208
3	2.000953	0.01209294	1.994559	0.020941947
4	2.001085	0.03068256	1.992203	0.029740600
5	1.996802	0.02011749	1.991703	0.022040198
6	2.007990	0.01582895	1.992352	0.016698374
7	2.003631	0.01915274	1.991013	0.012121121
8	2.005484	0.02307045	1.990064	0.025728710
9	2.003988	0.01532969	1.995584	0.016598906
10	2.000403	0.00981441	1.993990	0.014675302
11	2.002735	0.01641300	1.989381	0.022717286
12	1.998166	0.01187857	1.992518	0.009061694
13	1.992444	0.02520820	1.993899	0.047262887
14	1.989850	0.02484508	1.996663	0.020949508
15	1.998435	0.01743608	1.991429	0.019128322
16	1.998895	0.06156249	1.993915	0.037354262
17	1.993165	0.02650522	1.995560	0.031156663
18	2.004467	0.01144502	1.997844	0.029784722
19	2.003055	0.12124845	1.990001	0.089033684
20	2.000090	0.03879796	1.988779	0.022718332
21	1.992923	0.03499620	1.991319	0.037182392
22	1.994019	0.05894323	1.995011	0.044455656

